image_name,Entropy,Quintile
hippopotamus_01b.jpg,2.350747516618574,Quintile 1
cheeseburger_01b.jpg,2.0619712704217683,Quintile 1
yak_01b.jpg,2.541366658725778,Quintile 1
tiger_01b.jpg,2.4936227373737645,Quintile 1
guacamole_01b.jpg,2.6393496578368865,Quintile 1
gumball_01b.jpg,2.5045215280489805,Quintile 1
knife_01b.jpg,2.628477248990511,Quintile 1
baklava_01s.jpg,2.296542425601397,Quintile 1
papaya_01b.jpg,2.310131476559594,Quintile 1
grate_01b.jpg,2.5372499745804564,Quintile 1
screwdriver_01s.jpg,2.765660179550738,Quintile 2
cement_mixer_01b.jpg,2.7080046661317816,Quintile 2
tongue_01s.jpg,2.7514051343126846,Quintile 2
costume_01b.jpg,2.7125880131452296,Quintile 2
tank1_01b.jpg,2.7041371414093804,Quintile 2
seagull_01b.jpg,2.827255218001038,Quintile 2
milkshake_01b.jpg,2.831951253160696,Quintile 2
wheat_01b.jpg,2.8224215307241654,Quintile 2
iguana_01b.jpg,2.7509067704764343,Quintile 2
bullet_01s.jpg,2.738250402027944,Quintile 2
gum_01s.jpg,2.8494805271302197,Quintile 3
tie_01b.jpg,2.893043110913498,Quintile 3
stethoscope_01b.jpg,2.845594251346342,Quintile 3
gurney_01b.jpg,2.876303867159485,Quintile 3
drain_01b.jpg,2.927632480786999,Quintile 3
goblet_01s.jpg,2.873814274691079,Quintile 3
gramophone_01b.jpg,2.925809098711949,Quintile 3
magnifying_glass_01b.jpg,2.846612689779878,Quintile 3
string_cheese_01b.jpg,2.940850423259357,Quintile 3
marmalade_01b.jpg,2.9462351543422565,Quintile 3
saltshaker_01b.jpg,3.0437586456885084,Quintile 4
bowl_01b.jpg,3.002402071610416,Quintile 4
breathalyzer_01b.jpg,2.984575218391679,Quintile 4
tripod_01b.jpg,2.9464780459913342,Quintile 4
lavender_01b.jpg,3.0320147845639296,Quintile 4
pomegranate_01b.jpg,3.005894542427887,Quintile 4
marble_01b.jpg,2.963207781669498,Quintile 4
credit_card_01b.jpg,2.980748583885239,Quintile 4
hairpin_01b.jpg,3.002489809149423,Quintile 4
mailbox_01b.jpg,2.9657134933569087,Quintile 4
bassoon_01b.jpg,3.268780463509399,Quintile 5
velcro_01b.jpg,3.1343396783321023,Quintile 5
icemaker_01b.jpg,3.1165399815438253,Quintile 5
cane_01s.jpg,3.1218742642743718,Quintile 5
mattress_01s.jpg,3.099351524159576,Quintile 5
beanbag_01b.jpg,3.279864022417044,Quintile 5
lantern_01b.jpg,3.176028495646571,Quintile 5
skeleton_01b.jpg,3.089860251811287,Quintile 5
doorstop_01b.jpg,3.08107505127279,Quintile 5
measuring_cup_01b.jpg,3.06051392695555,Quintile 5
